Asset,DateTime,Price_Close,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12
XAU/USD,12/25/2014 17:00,1173.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAU/USD,12/26/2014 17:00,1194.08,0,0,0,0,0,0,0,-0.007597497,-0.007379614,0,-0.007605947,-0.007645534,-0.007882005,-0.007853232,-0.007838766,-0.007736726,-0.007778847,-0.007749988,-0.007806819,-0.007819314,-0.007311081,-0.007331175,-0.007895453,-0.007870171
XAU/USD,12/29/2014 17:00,1182.97,-0.004062422,-0.004082966,-0.004261038,-0.004183193,-0.004110798,-0.004109216,0,0.000116254,-0.003755112,-0.003796979,-0.00386544,-0.003892627,-0.004013794,-0.003999048,-0.003991635,-0.003948165,-0.003953865,-0.003954975,-0.003975264,-0.003971919,-0.003720032,-0.003724967,-0.004013514,-0.004007729
XAU/USD,12/30/2014 17:00,1200.02,0.006441557,0.006474273,0.006421527,0.006303739,0.006345119,0.006342667,0,0,0.006132027,0.006018965,0.006313217,0.006357476,0.006556234,0.006532043,0.006519881,0.00644815,0.006458261,0.006459321,0.006493025,0.006488004,0.006074509,0.006082856,0.006556119,0.006546284
XAU/USD,12/31/2014 17:00,1182.16,-0.00204261,-0.002052859,-0.002035239,-0.001998346,-0.004316563,-0.004314906,0,0,-0.004172569,-0.001910109,-0.002002392,-0.002016263,-0.00207853,-0.002070953,-0.002067145,-0.002044675,-0.006200898,-0.002048175,-0.002058733,-0.00205716,-0.001927537,-0.001930155,-0.002078493,-0.002075414
XAU/USD,1/1/2015 17:00,1182.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAU/USD,1/2/2015 17:00,1187.08,-0.002049899,-0.00206012,-0.002044586,-0.00200775,0,0,0,0,-0.000102422,-0.00181716,-0.002009786,-0.002023622,-0.002085718,-0.002078164,-0.002074366,-0.002051959,-0.010628092,-0.002055449,-0.010966999,-0.00206441,-0.001935098,-0.001937711,-0.002085682,-0.002082611
XAU/USD,1/5/2015 17:00,1204.55,0.006609975,0.006643416,0.006592593,0.006472127,0,0,0,0,0.006295724,0.000248134,0.006612341,0.006524026,0.006727186,0.006702461,0.006690032,0.006616714,0.006709398,0.006628133,0.006719651,0.006657451,0.00623471,0.006371976,0.006865717,0.006717017
XAU/USD,1/6/2015 17:00,1218.15,0.005116546,0.005142284,0.005103167,0.005010436,0.005581862,0.005579712,0.004579191,0.004580561,0.004874611,0.004745957,0.004967794,0.005050389,0.005206751,0.005187724,0.005178159,0.005121733,0.005193062,0.005130521,0.005200952,0.005153085,0.004827623,0.004788182,0.005157051,0.005198925
XAU/USD,1/7/2015 17:00,1210.64,-0.002809043,-0.002823091,-0.00280174,-0.002751118,-0.002749392,-0.002748339,-0.002720736,-0.002721545,-0.002115558,-0.002606678,-0.002727836,-0.00277293,-0.002858275,-0.002847892,-0.002842671,-0.002811874,-0.002850805,-0.002816671,-0.002855111,-0.002828987,-0.001543896,-0.002629744,-0.002831151,-0.002854004
XAU/USD,1/8/2015 17:00,1208.42,-0.000827102,-0.000831222,-0.00082496,-0.000810113,-0.000809606,-0.000809297,-0.000801201,-0.000801438,-0.000395956,-0.001561787,-0.000803283,-0.00081651,-0.000841539,-0.000838494,-0.000836963,-0.000827932,-0.000839348,-0.000829339,-0.000840611,-0.00083295,0.000775145,-0.001573927,-0.000833585,-0.000840287
